contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
SPY260116C00660000,2024-12-13 20:31:04+00:00,660.0,21.52,21.26,21.43,-0.40999985,-1.8695842,25.0,1716,0.16630624961853033,False,REGULAR,USD,2026-01-16
SPY260116C00665000,2024-12-13 18:57:11+00:00,665.0,19.35,19.22,19.37,-0.44999886,-2.2727215,27.0,711,0.16314008255004886,False,REGULAR,USD,2026-01-16
SPY260116C00670000,2024-12-13 18:32:40+00:00,670.0,17.27,17.31,17.46,-0.5799999,-3.249299,84.0,1686,0.1601722777557373,False,REGULAR,USD,2026-01-16
SPY260116C00675000,2024-12-13 15:41:10+00:00,675.0,15.79,15.54,15.68,-0.25999928,-1.6199331,6.0,1123,0.15732654205322266,False,REGULAR,USD,2026-01-16
SPY260116C00680000,2024-12-13 19:36:14+00:00,680.0,14.1,13.91,14.05,-0.25999928,-1.8105799,9.0,2200,0.15470205657958985,False,REGULAR,USD,2026-01-16
SPY260116C00685000,2024-12-13 20:48:02+00:00,685.0,12.59,12.42,12.55,-0.26000023,-2.023348,53.0,326,0.15222252815246584,False,REGULAR,USD,2026-01-16
SPY260116C00690000,2024-12-13 20:57:20+00:00,690.0,11.21,11.05,11.18,-0.10000038,-0.8841766,9.0,744,0.14991084472656252,False,REGULAR,USD,2026-01-16
SPY260116C00695000,2024-12-12 20:48:38+00:00,695.0,10.2,9.81,9.93,0.0,0.0,21.0,532,0.14772885971069338,False,REGULAR,USD,2026-01-16
SPY260116C00700000,2024-12-13 21:14:17+00:00,700.0,8.79,8.69,8.81,-0.020000458,-0.22701994,266.0,10971,0.14577575424194333,False,REGULAR,USD,2026-01-16
SPY260116C00705000,2024-12-13 20:48:02+00:00,705.0,7.81,7.68,7.79,-0.15999985,-2.0075264,38.0,4737,0.1438989419555664,False,REGULAR,USD,2026-01-16
SPY260116C00710000,2024-12-13 20:48:02+00:00,710.0,6.88,6.77,6.88,-0.119999886,-1.7142842,4.0,9270,0.14222049194335937,False,REGULAR,USD,2026-01-16
SPY260116C00715000,2024-12-12 20:53:21+00:00,715.0,6.2,5.96,6.06,0.0,0.0,26.0,8646,0.14063359375,False,REGULAR,USD,2026-01-16
SPY260116C00720000,2024-12-12 16:45:17+00:00,720.0,5.66,5.23,5.33,0.0,0.0,42.0,5026,0.13918402328491214,False,REGULAR,USD,2026-01-16
SPY260116C00725000,2024-12-13 16:19:01+00:00,725.0,4.71,4.58,4.68,-0.21999979,-4.4624705,3.0,5412,0.13785652191162112,False,REGULAR,USD,2026-01-16
SPY260116C00730000,2024-12-13 17:14:03+00:00,730.0,4.04,4.01,4.1,-0.5999999,-12.931032,3.0,8177,0.13660531372070314,False,REGULAR,USD,2026-01-16
SPY260116C00735000,2024-12-13 19:31:56+00:00,735.0,3.58,3.51,3.59,-0.22000003,-5.7894745,2.0,20734,0.13547617462158207,False,REGULAR,USD,2026-01-16
SPY260116C00740000,2024-12-13 20:28:09+00:00,740.0,3.1,3.06,3.14,-0.11000013,-3.4267955,25.0,19079,0.13446910461425782,False,REGULAR,USD,2026-01-16
SPY260116C00745000,2024-12-13 19:33:39+00:00,745.0,2.71,2.67,2.74,-0.15999985,-5.574908,21.0,22656,0.1334925518798828,False,REGULAR,USD,2026-01-16
SPY260116C00750000,2024-12-13 21:00:33+00:00,750.0,2.36,2.33,2.4,-0.09000015,-3.6734755,95.0,7012,0.13276013732910158,False,REGULAR,USD,2026-01-16
SPY260116C00755000,2024-12-12 21:00:07+00:00,755.0,2.12,2.04,2.1,0.0,0.0,18.0,4778,0.13207349868774415,False,REGULAR,USD,2026-01-16
SPY260116C00760000,2024-12-12 19:02:22+00:00,760.0,1.94,1.78,1.83,0.0,0.0,1.0,1299,0.1313563427734375,False,REGULAR,USD,2026-01-16
SPY260116C00765000,2024-12-12 16:27:35+00:00,765.0,1.74,1.56,1.62,0.0,0.0,22.0,285,0.13114272186279297,False,REGULAR,USD,2026-01-16
SPY260116C00770000,2024-12-13 19:43:01+00:00,770.0,1.39,1.37,1.42,-0.15999997,-10.322579,52.0,253,0.1307154800415039,False,REGULAR,USD,2026-01-16
SPY260116C00775000,2024-12-05 16:43:45+00:00,775.0,1.52,1.2,1.25,0.0,0.0,1.0,336,0.13044082458496092,False,REGULAR,USD,2026-01-16
SPY260116C00780000,2024-12-13 21:00:33+00:00,780.0,1.09,1.06,1.11,-0.049999952,-4.385961,24.0,274,0.1304103073120117,False,REGULAR,USD,2026-01-16
SPY260116C00785000,2024-12-12 16:06:09+00:00,785.0,1.05,0.94,0.98,0.0,0.0,10.0,75,0.1302577209472656,False,REGULAR,USD,2026-01-16
SPY260116C00790000,2024-12-12 20:55:06+00:00,790.0,0.9,0.83,0.87,0.0,0.0,1.0,195,0.1302882382202148,False,REGULAR,USD,2026-01-16
SPY260116C00795000,2024-12-10 20:31:31+00:00,795.0,0.76,0.75,0.78,0.0,0.0,1.0,517,0.13050185913085935,False,REGULAR,USD,2026-01-16
SPY260116C00800000,2024-12-13 20:33:33+00:00,800.0,0.69,0.66,0.7,-0.030000031,-4.166671,17.0,831,0.1307765145874023,False,REGULAR,USD,2026-01-16
SPY260116C00805000,2024-12-12 14:45:34+00:00,805.0,0.67,0.59,0.63,0.0,0.0,10.0,106,0.13111220458984374,False,REGULAR,USD,2026-01-16
SPY260116C00810000,2024-12-13 17:56:22+00:00,810.0,0.55,0.53,0.57,-0.110000014,-16.666668,1.0,38,0.1315394464111328,False,REGULAR,USD,2026-01-16
SPY260116C00815000,2024-12-13 19:58:08+00:00,815.0,0.51,0.47,0.51,0.0,0.0,5.0,1533,0.13172255004882813,False,REGULAR,USD,2026-01-16
SPY260116C00820000,2024-12-13 14:43:17+00:00,820.0,0.5,0.43,0.46,0.00999999,2.0408144,1.0,171,0.13208875732421876,False,REGULAR,USD,2026-01-16
SPY260116C00825000,2024-12-11 21:10:47+00:00,825.0,0.46,0.39,0.42,0.0,0.0,2.0,34,0.1326380682373047,False,REGULAR,USD,2026-01-16
SPY260116C00830000,2024-12-10 19:01:24+00:00,830.0,0.39,0.35,0.39,0.0,0.0,2.0,96,0.13355358642578125,False,REGULAR,USD,2026-01-16
SPY260116C00835000,2024-11-19 17:34:49+00:00,835.0,0.37,0.32,0.35,0.0,0.0,1.0,204,0.133797724609375,False,REGULAR,USD,2026-01-16
SPY260116C00840000,2024-12-13 20:58:18+00:00,840.0,0.33,0.3,0.32,0.0,0.0,191.0,1813,0.13428600097656251,False,REGULAR,USD,2026-01-16
SPY260320C00315000,2024-11-26 16:16:00+00:00,315.0,299.5,300.56,305.0,0.0,0.0,,19,0.5117541500854492,True,REGULAR,USD,2026-03-20
SPY260320C00390000,2024-12-05 17:31:58+00:00,390.0,238.85,231.85,236.5,0.0,0.0,,10,0.42496302581787115,True,REGULAR,USD,2026-03-20
SPY260320C00410000,2024-12-05 20:17:39+00:00,410.0,219.8,213.83,218.5,0.0,0.0,1.0,2,0.4032957620239258,True,REGULAR,USD,2026-03-20
SPY260320C00425000,2024-12-05 18:24:13+00:00,425.0,206.74,200.42,205.0,0.0,0.0,1.0,2,0.386801175994873,True,REGULAR,USD,2026-03-20
SPY260320C00430000,2024-12-03 16:24:23+00:00,430.0,197.54,195.98,200.5,0.0,0.0,1.0,1,0.38125466163635247,True,REGULAR,USD,2026-03-20
SPY260320C00450000,2024-12-06 16:35:29+00:00,450.0,184.57,178.36,183.0,0.0,0.0,3.0,3,0.36167020172119135,True,REGULAR,USD,2026-03-20
SPY260320C00455000,2024-12-13 17:48:59+00:00,455.0,174.86,173.99,178.5,-4.8600006,-2.704207,2.0,3,0.35594821304321284,True,REGULAR,USD,2026-03-20
SPY260320C00460000,2024-12-06 15:40:58+00:00,460.0,176.24,169.64,174.0,0.0,0.0,6.0,6,0.35020333641052237,True,REGULAR,USD,2026-03-20
SPY260320C00470000,2024-12-02 15:34:20+00:00,470.0,164.45,161.0,165.5,0.0,0.0,,1,0.3412846633911133,True,REGULAR,USD,2026-03-20
SPY260320C00480000,2024-12-10 14:54:07+00:00,480.0,155.41,152.43,157.0,0.0,0.0,4.0,5,0.33206844696044924,True,REGULAR,USD,2026-03-20
SPY260320C00510000,2024-12-13 18:32:00+00:00,510.0,130.42,127.3,132.0,-1.3200073,-1.0019791,1.0,12,0.3050072551727294,True,REGULAR,USD,2026-03-20
SPY260320C00515000,2024-12-12 20:31:14+00:00,515.0,126.75,123.21,128.0,0.0,0.0,1.0,5,0.3009637165069581,True,REGULAR,USD,2026-03-20
SPY260320C00520000,2024-12-09 16:22:40+00:00,520.0,125.21,119.14,123.5,0.0,0.0,1.0,3,0.29457797714233397,True,REGULAR,USD,2026-03-20
SPY260320C00530000,2024-11-29 16:10:04+00:00,530.0,112.34,111.11,115.5,0.0,0.0,1.0,1,0.2860102527618408,True,REGULAR,USD,2026-03-20
SPY260320C00535000,2024-12-05 16:05:57+00:00,535.0,112.51,107.14,111.5,0.0,0.0,1.0,3,0.2815623602294921,True,REGULAR,USD,2026-03-20
SPY260320C00540000,2024-12-12 15:43:34+00:00,540.0,107.42,103.2,107.5,0.0,0.0,1.0,4,0.2770076572418213,True,REGULAR,USD,2026-03-20
SPY260320C00545000,2024-12-06 18:44:48+00:00,545.0,104.26,99.3,104.0,0.0,0.0,1.0,19,0.274421318359375,True,REGULAR,USD,2026-03-20
SPY260320C00550000,2024-12-12 19:33:45+00:00,550.0,98.0,95.43,100.0,0.0,0.0,2.0,8,0.26961484786987305,True,REGULAR,USD,2026-03-20
SPY260320C00560000,2024-12-13 18:53:56+00:00,560.0,90.12,87.81,92.5,-2.399994,-2.5940273,2.0,3,0.2616574689483643,True,REGULAR,USD,2026-03-20
SPY260320C00570000,2024-12-05 15:24:22+00:00,570.0,85.8,80.35,85.0,0.0,0.0,,18,0.253135520477295,True,REGULAR,USD,2026-03-20
SPY260320C00575000,2024-12-13 17:40:14+00:00,575.0,78.3,76.68,81.0,-1.199997,-1.5094302,3.0,1,0.24768055793762206,True,REGULAR,USD,2026-03-20
SPY260320C00580000,2024-12-12 19:14:41+00:00,580.0,76.24,73.06,77.5,0.0,0.0,3.0,3,0.24401848518371583,True,REGULAR,USD,2026-03-20
SPY260320C00585000,2024-12-04 20:28:41+00:00,585.0,74.79,69.48,74.0,0.0,0.0,,3,0.24018093811035152,True,REGULAR,USD,2026-03-20
SPY260320C00590000,2024-12-13 17:22:27+00:00,590.0,67.93,65.95,70.5,-0.48999786,-0.7161618,4.0,1,0.2361679167175293,True,REGULAR,USD,2026-03-20
SPY260320C00600000,2024-12-13 17:51:44+00:00,600.0,60.68,59.06,63.5,-2.5600014,-4.048073,32.0,16,0.22759256301879882,True,REGULAR,USD,2026-03-20
SPY260320C00605000,2024-12-13 18:03:53+00:00,605.0,57.37,55.7,60.5,-1.2900009,-2.199115,3.0,23,0.22486889640808103,False,REGULAR,USD,2026-03-20
SPY260320C00610000,2024-12-13 15:32:37+00:00,610.0,55.6,54.0,57.0,-0.08000183,-0.14368144,1.0,8,0.220085313873291,False,REGULAR,USD,2026-03-20
SPY260320C00620000,2024-12-13 20:19:43+00:00,620.0,48.65,46.06,51.0,-1.0999985,-2.2110522,16.0,10,0.2135469881439209,False,REGULAR,USD,2026-03-20
